comparable_name,season,games_in_season,actual_wins,simulated_wins_mean,simulated_wins_p10,simulated_wins_p50,simulated_wins_p90,actual_percentile,league_baseline_per36
ATL 2010-11,2010-11,82,44,44.4884,33.0,45.0,56.0,49.32,14.531603835737373
BOS 2010-11,2010-11,82,56,45.5818,34.0,46.0,57.0,88.17,14.531603835737373
BKN 2010-11,2010-11,82,24,44.6509,33.0,45.0,56.0,1.21,14.531603835737373
CHA 2010-11,2010-11,82,34,35.2596,24.0,35.0,47.0,48.05,14.531603835737373
CHI 2010-11,2010-11,82,62,39.2648,27.0,39.0,51.0,99.53999999999999,14.531603835737373
CLE 2010-11,2010-11,82,19,36.7352,25.0,37.0,49.0,2.6599999999999997,14.531603835737373
DAL 2010-11,2010-11,82,57,43.5738,31.0,44.0,56.0,93.34,14.531603835737373
DEN 2010-11,2010-11,82,50,48.2722,36.0,49.0,60.0,58.58,14.531603835737373
DET 2010-11,2010-11,82,30,35.938,24.0,36.0,48.0,28.98,14.531603835737373
GSW 2010-11,2010-11,82,36,35.9666,24.0,36.0,48.0,52.83,14.531603835737373
HOU 2010-11,2010-11,82,43,41.6454,30.0,42.0,54.0,57.9,14.531603835737373
IND 2010-11,2010-11,82,37,40.2208,28.0,40.0,52.0,39.0,14.531603835737373
LAC 2010-11,2010-11,82,32,30.4477,19.0,30.0,42.0,60.309999999999995,14.531603835737373
LAL 2010-11,2010-11,82,57,47.2865,35.0,48.0,59.0,86.55000000000001,14.531603835737373
MEM 2010-11,2010-11,82,46,36.6469,25.0,36.0,49.0,85.37,14.531603835737373
MIA 2010-11,2010-11,82,58,43.1595,31.0,43.0,55.0,95.11,14.531603835737373
MIL 2010-11,2010-11,82,35,45.1439,33.0,45.0,57.0,15.120000000000001,14.531603835737373
MIN 2010-11,2010-11,82,17,38.1726,26.0,38.0,50.0,0.8999999999999999,14.531603835737373
NOP 2010-11,2010-11,82,46,44.3298,32.0,44.0,56.0,58.74,14.531603835737373
NYK 2010-11,2010-11,82,42,37.1047,25.0,37.0,49.0,71.98,14.531603835737373
