TeamName,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
76ers,7.0,8.0,9.0,14.0,14.0,15.0,14.0,3.0,3.0,6.0,1.0,4.0,3.0,7.0,13.0,7.0
Bobcats,10.0,15.0,14.0,7.0,,,,,,,,,,,,
Bucks,9.0,9.0,8.0,15.0,6.0,12.0,6.0,7.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,11.0
Bulls,1.0,1.0,5.0,4.0,3.0,9.0,8.0,13.0,13.0,11.0,11.0,6.0,10.0,9.0,9.0,12.0
Cavaliers,15.0,13.0,13.0,10.0,2.0,1.0,2.0,4.0,14.0,15.0,13.0,8.0,4.0,4.0,1.0,4.0
Celtics,3.0,4.0,7.0,12.0,7.0,5.0,1.0,2.0,4.0,3.0,7.0,2.0,2.0,1.0,2.0,2.0
Clippers,13.0,5.0,4.0,3.0,3.0,4.0,4.0,10.0,8.0,2.0,4.0,8.0,5.0,4.0,5.0,9.0
Grizzlies,8.0,4.0,5.0,7.0,5.0,7.0,7.0,14.0,12.0,9.0,8.0,2.0,2.0,13.0,8.0,13.0
Hawks,5.0,5.0,6.0,8.0,1.0,4.0,5.0,15.0,12.0,14.0,5.0,9.0,8.0,10.0,8.0,6.0
Heat,2.0,2.0,1.0,2.0,10.0,3.0,9.0,6.0,10.0,5.0,6.0,1.0,7.0,8.0,10.0,10.0
Hornets,7.0,15.0,14.0,,11.0,6.0,11.0,10.0,9.0,10.0,10.0,10.0,14.0,13.0,14.0,9.0
Jazz,11.0,8.0,9.0,15.0,11.0,9.0,5.0,5.0,5.0,6.0,1.0,5.0,12.0,12.0,15.0,15.0
Kings,14.0,14.0,13.0,13.0,13.0,10.0,12.0,12.0,9.0,12.0,12.0,12.0,3.0,9.0,9.0,14.0
Knicks,6.0,7.0,2.0,9.0,15.0,13.0,12.0,11.0,15.0,12.0,4.0,11.0,5.0,2.0,3.0,3.0
Lakers,2.0,3.0,7.0,14.0,14.0,15.0,14.0,11.0,10.0,1.0,7.0,11.0,7.0,8.0,3.0,4.0
Magic,4.0,6.0,15.0,13.0,13.0,11.0,13.0,14.0,7.0,8.0,14.0,15.0,13.0,5.0,7.0,8.0
Mavericks,3.0,7.0,10.0,8.0,7.0,6.0,11.0,13.0,14.0,7.0,5.0,4.0,11.0,5.0,10.0,12.0
Nets,12.0,12.0,4.0,6.0,8.0,14.0,15.0,12.0,6.0,7.0,2.0,7.0,6.0,11.0,12.0,13.0
Nuggets,5.0,6.0,3.0,11.0,12.0,11.0,9.0,9.0,2.0,3.0,3.0,6.0,1.0,2.0,4.0,3.0
Pacers,8.0,3.0,3.0,1.0,9.0,7.0,7.0,5.0,5.0,4.0,9.0,13.0,11.0,6.0,4.0,14.0
Pelicans,,,,12.0,8.0,12.0,10.0,6.0,13.0,13.0,11.0,9.0,9.0,7.0,14.0,11.0
Pistons,11.0,10.0,11.0,11.0,12.0,8.0,10.0,9.0,8.0,13.0,15.0,14.0,15.0,15.0,6.0,1.0
Raptors,14.0,11.0,10.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,12.0,5.0,9.0,12.0,11.0,5.0
Rockets,9.0,9.0,8.0,4.0,2.0,8.0,3.0,1.0,4.0,4.0,15.0,15.0,14.0,11.0,2.0,5.0
Spurs,1.0,1.0,2.0,1.0,6.0,2.0,2.0,7.0,7.0,11.0,10.0,10.0,15.0,14.0,13.0,2.0
Suns,10.0,10.0,15.0,9.0,10.0,14.0,15.0,15.0,15.0,10.0,2.0,1.0,4.0,6.0,11.0,7.0
Thunder,4.0,2.0,1.0,2.0,9.0,3.0,6.0,4.0,6.0,5.0,14.0,14.0,10.0,1.0,1.0,1.0
Timberwolves,15.0,12.0,12.0,10.0,15.0,13.0,13.0,8.0,11.0,14.0,13.0,7.0,8.0,3.0,6.0,6.0
Trail Blazers,6.0,11.0,11.0,5.0,4.0,5.0,8.0,3.0,3.0,8.0,6.0,13.0,13.0,15.0,12.0,8.0
Warriors,12.0,13.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,15.0,9.0,3.0,6.0,10.0,7.0,10.0
Wizards,13.0,14.0,12.0,5.0,5.0,10.0,4.0,8.0,11.0,9.0,8.0,12.0,12.0,14.0,15.0,15.0
