comparable_name,team_id,season,n_seasons_lookback,half_life_seasons,team_game_score,DiffPointsPG
ATL 2010-11,1610612737,2010-11,1,0.5,79.75190492743738,-0.8
ATL 2010-11,1610612737,2010-11,1,1.0,79.75190492743738,-0.8
ATL 2010-11,1610612737,2010-11,1,1.5,79.75190492743738,-0.8
ATL 2010-11,1610612737,2010-11,1,2.5,79.75190492743738,-0.8
ATL 2010-11,1610612737,2010-11,1,4.0,79.75190492743738,-0.8
ATL 2010-11,1610612737,2010-11,2,0.5,79.25665338063541,-0.8
ATL 2010-11,1610612737,2010-11,2,1.0,78.9264856827674,-0.8
ATL 2010-11,1610612737,2010-11,2,1.5,78.79486050940012,-0.8
ATL 2010-11,1610612737,2010-11,2,2.5,78.68432601446666,-0.8
ATL 2010-11,1610612737,2010-11,2,4.0,78.62078411340383,-0.8
ATL 2010-11,1610612737,2010-11,3,0.5,79.10020521393416,-0.8
ATL 2010-11,1610612737,2010-11,3,1.0,78.50430799664484,-0.8
ATL 2010-11,1610612737,2010-11,3,1.5,78.24199499162681,-0.8
ATL 2010-11,1610612737,2010-11,3,2.5,78.01617891889754,-0.8
ATL 2010-11,1610612737,2010-11,3,4.0,77.88549881903626,-0.8
ATL 2010-11,1610612737,2010-11,4,0.5,79.09412906626565,-0.8
ATL 2010-11,1610612737,2010-11,4,1.0,78.47912020941483,-0.8
ATL 2010-11,1610612737,2010-11,4,1.5,78.20647685585108,-0.8
ATL 2010-11,1610612737,2010-11,4,2.5,77.9721935641489,-0.8
ATL 2010-11,1610612737,2010-11,4,4.0,77.8371482756272,-0.8
BOS 2010-11,1610612738,2010-11,1,0.5,92.73993644318156,5.4
BOS 2010-11,1610612738,2010-11,1,1.0,92.73993644318156,5.4
BOS 2010-11,1610612738,2010-11,1,1.5,92.73993644318156,5.4
BOS 2010-11,1610612738,2010-11,1,2.5,92.73993644318156,5.4
BOS 2010-11,1610612738,2010-11,1,4.0,92.73993644318156,5.4
BOS 2010-11,1610612738,2010-11,2,0.5,93.35922731798719,5.4
BOS 2010-11,1610612738,2010-11,2,1.0,93.77208790119093,5.4
BOS 2010-11,1610612738,2010-11,2,1.5,93.93667955019727,5.4
BOS 2010-11,1610612738,2010-11,2,2.5,94.07489820797946,5.4
BOS 2010-11,1610612738,2010-11,2,4.0,94.15435463724276,5.4
BOS 2010-11,1610612738,2010-11,3,0.5,93.20721189682705,5.4
BOS 2010-11,1610612738,2010-11,3,1.0,93.25706155439575,5.4
BOS 2010-11,1610612738,2010-11,3,1.5,93.19855607250946,5.4
BOS 2010-11,1610612738,2010-11,3,2.5,93.11248229982529,5.4
BOS 2010-11,1610612738,2010-11,3,4.0,93.04778076740473,5.4
BOS 2010-11,1610612738,2010-11,4,0.5,93.26686671569308,5.4
BOS 2010-11,1610612738,2010-11,4,1.0,93.57610445025334,5.4
BOS 2010-11,1610612738,2010-11,4,1.5,93.71654138077498,5.4
BOS 2010-11,1610612738,2010-11,4,2.5,93.84920566739858,5.4
BOS 2010-11,1610612738,2010-11,4,4.0,93.93239962496779,5.4
BKN 2010-11,1610612751,2010-11,1,0.5,71.15493335765572,-6.2
BKN 2010-11,1610612751,2010-11,1,1.0,71.15493335765572,-6.2
BKN 2010-11,1610612751,2010-11,1,1.5,71.15493335765572,-6.2
BKN 2010-11,1610612751,2010-11,1,2.5,71.15493335765572,-6.2
BKN 2010-11,1610612751,2010-11,1,4.0,71.15493335765572,-6.2
BKN 2010-11,1610612751,2010-11,2,0.5,71.08640332045145,-6.2
BKN 2010-11,1610612751,2010-11,2,1.0,71.04071662898195,-6.2
BKN 2010-11,1610612751,2010-11,2,1.5,71.02250310075347,-6.2
BKN 2010-11,1610612751,2010-11,2,2.5,71.00720797830698,-6.2
BKN 2010-11,1610612751,2010-11,2,4.0,70.99841541850182,-6.2
BKN 2010-11,1610612751,2010-11,3,0.5,71.4794835377551,-6.2
BKN 2010-11,1610612751,2010-11,3,1.0,72.19538888634968,-6.2
BKN 2010-11,1610612751,2010-11,3,1.5,72.59167539977169,-6.2
