n_seasons_lookback,half_life_seasons,talent_std_pts,target_talent_std_pts,gap_to_target,correlation
2,4.0,3.0288856173996197,4.501332061354091,-1.4724464439544716,0.7577605430877759
2,2.5,3.026925014763056,4.501332061354091,-1.4744070465910353,0.7583947657309473
2,1.5,3.0238435763698095,4.501332061354091,-1.4774884849842818,0.7594147257221964
3,4.0,3.0218739252990288,4.501332061354091,-1.4794581360550625,0.7528898936339864
2,1.0,3.0207200913265413,4.501332061354091,-1.48061197002755,0.7604899280449701
3,2.5,3.020033112528089,4.501332061354091,-1.4812989488260024,0.7542034302583175
3,1.5,3.0173884794837638,4.501332061354091,-1.4839435818703275,0.7562777374208738
2,0.5,3.015500480769584,4.501332061354091,-1.4858315805845073,0.7625100088996548
3,1.0,3.01511268490152,4.501332061354091,-1.486219376452571,0.7583857477231054
1,0.5,3.014684785015276,4.501332061354091,-1.4866472763388154,0.7636952546157179
1,4.0,3.014684785015276,4.501332061354091,-1.4866472763388154,0.7636952546157179
1,2.5,3.014684785015276,4.501332061354091,-1.4866472763388154,0.7636952546157179
1,1.5,3.014684785015276,4.501332061354091,-1.4866472763388154,0.7636952546157179
1,1.0,3.014684785015276,4.501332061354091,-1.4866472763388154,0.7636952546157179
3,0.5,3.0128247908951384,4.501332061354091,-1.4885072704589528,0.7619799413843303
4,0.5,3.0113659925393015,4.501332061354091,-1.4899660688147898,0.7619802394673979
4,1.0,3.008593527225874,4.501332061354091,-1.4927385341282173,0.7580849930774212
4,4.0,3.0082553360929447,4.501332061354091,-1.4930767252611465,0.7512992982789567
4,2.5,3.007883089032287,4.501332061354091,-1.4934489723218043,0.7529968689011883
4,1.5,3.0078782128279364,4.501332061354091,-1.4934538485261548,0.755587947304406
