comparable_name,team_id,season,x_game_score_vs_baseline,WINS,LOSSES,y_actual_diff_points_pg
ATL 2010-11,1610612737,2010-11,12.484249112623559,44,38,-0.8
BOS 2010-11,1610612738,2010-11,16.625458502399084,56,26,5.4
BKN 2010-11,1610612751,2010-11,13.23854852265687,24,58,-6.2
CHA 2010-11,1610612766,2010-11,-19.628650978085886,34,48,-4.0
CHI 2010-11,1610612741,2010-11,-5.537215644397662,62,20,7.3
CLE 2010-11,1610612739,2010-11,-15.040123270773861,19,63,-9.0
DAL 2010-11,1610612742,2010-11,7.909560878041617,57,25,4.2
DEN 2010-11,1610612743,2010-11,23.52022794632046,50,32,4.8
DET 2010-11,1610612765,2010-11,-18.396780913820947,30,52,-3.6
GSW 2010-11,1610612744,2010-11,-20.16592330983657,36,46,-2.3
HOU 2010-11,1610612745,2010-11,2.674071819515916,43,39,2.2
IND 2010-11,1610612754,2010-11,-4.626234664517995,37,45,-1.1
LAC 2010-11,1610612746,2010-11,-36.61304289401847,32,50,-3.1
LAL 2010-11,1610612747,2010-11,22.503930653513663,57,25,6.1
MEM 2010-11,1610612763,2010-11,-12.702629001264668,46,36,2.3
MIA 2010-11,1610612748,2010-11,10.326864146268818,58,24,7.5
MIL 2010-11,1610612749,2010-11,14.682371012350103,35,47,-0.8
MIN 2010-11,1610612750,2010-11,-11.672427091083065,17,65,-6.6
NOP 2010-11,1610612740,2010-11,14.63735089160707,46,36,0.9
NYK 2010-11,1610612752,2010-11,-14.112579001302265,42,40,0.8
OKC 2010-11,1610612760,2010-11,13.791699271818558,55,27,3.8
ORL 2010-11,1610612753,2010-11,32.41907362139315,52,30,5.5
PHI 2010-11,1610612755,2010-11,1.7650978177851187,41,41,1.5
PHX 2010-11,1610612756,2010-11,25.663996857950735,40,42,-0.9
POR 2010-11,1610612757,2010-11,17.021401975655493,48,34,1.5
SAC 2010-11,1610612758,2010-11,-11.288398058671504,24,58,-5.3
SAS 2010-11,1610612759,2010-11,3.738725635936291,61,21,5.7
TOR 2010-11,1610612761,2010-11,-11.34470921821702,22,60,-6.3
UTA 2010-11,1610612762,2010-11,-12.483564316068424,39,43,-1.8
WAS 2010-11,1610612764,2010-11,-39.39035030377836,23,59,-7.4
ATL 2011-12,1610612737,2011-12,2.9747168522861216,40,26,3.4
BOS 2011-12,1610612738,2011-12,9.508480466781407,39,27,2.5
