held_out_season,divergences,rhat_beta_mu
2010-11,0,1.0008697514478895
2011-12,0,1.0000463783617985
2012-13,0,1.0025946709210733
2013-14,0,1.0014839649527982
2014-15,0,1.0015318537799944
2015-16,0,1.0005474825290706
2016-17,0,1.0004536801127701
2017-18,0,1.0018567865617172
2018-19,0,1.0006136277080462
2019-20,0,1.001136243089476
2020-21,0,1.001147041746608
2021-22,0,1.000923284945755
2022-23,0,1.00096973743546
2023-24,0,1.0015636180469167
2024-25,0,1.0009649148478716
2025-26,0,1.0009489492034118
