param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[2010-11],-0.01,0.222,-0.413,0.414,0.003,0.003,6687.0,4482.0,1.0
alpha[2011-12],-0.007,0.226,-0.412,0.442,0.003,0.003,6738.0,4638.0,1.0
alpha[2012-13],-0.008,0.22,-0.432,0.394,0.003,0.003,7357.0,4854.0,1.0
alpha[2013-14],-0.009,0.221,-0.441,0.41,0.003,0.003,6476.0,4722.0,1.0
alpha[2014-15],-0.009,0.223,-0.408,0.423,0.003,0.003,6407.0,4677.0,1.0
alpha[2015-16],-0.006,0.224,-0.426,0.43,0.003,0.003,6711.0,4893.0,1.0
alpha[2016-17],-0.014,0.226,-0.435,0.41,0.003,0.003,6636.0,4793.0,1.0
alpha[2017-18],-0.01,0.225,-0.435,0.409,0.003,0.004,6605.0,4985.0,1.0
alpha[2018-19],-0.011,0.222,-0.425,0.404,0.003,0.003,7741.0,4999.0,1.0
alpha[2019-20],-0.02,0.225,-0.427,0.423,0.003,0.003,6585.0,4734.0,1.0
alpha[2020-21],-0.013,0.227,-0.428,0.422,0.003,0.003,6971.0,4859.0,1.0
alpha[2021-22],-0.013,0.225,-0.439,0.412,0.003,0.003,6749.0,4974.0,1.0
alpha[2022-23],-0.01,0.226,-0.445,0.4,0.003,0.003,7217.0,4645.0,1.0
alpha[2023-24],-0.01,0.223,-0.413,0.41,0.003,0.003,6540.0,4547.0,1.0
alpha[2024-25],-0.008,0.225,-0.427,0.414,0.003,0.003,6546.0,4899.0,1.0
alpha[2025-26],-0.006,0.221,-0.406,0.417,0.003,0.003,7277.0,5130.0,1.0
beta[2010-11],0.17,0.014,0.144,0.198,0.0,0.0,7055.0,5023.0,1.0
beta[2011-12],0.173,0.014,0.144,0.199,0.0,0.0,7630.0,5008.0,1.0
beta[2012-13],0.169,0.015,0.14,0.197,0.0,0.0,7060.0,5220.0,1.0
beta[2013-14],0.177,0.015,0.149,0.206,0.0,0.0,6060.0,5264.0,1.0
beta[2014-15],0.174,0.014,0.147,0.199,0.0,0.0,6309.0,4889.0,1.0
beta[2015-16],0.172,0.013,0.148,0.198,0.0,0.0,7496.0,5204.0,1.0
beta[2016-17],0.166,0.014,0.139,0.19,0.0,0.0,6505.0,4948.0,1.0
beta[2017-18],0.165,0.015,0.134,0.192,0.0,0.0,5329.0,5004.0,1.0
beta[2018-19],0.173,0.013,0.149,0.2,0.0,0.0,7163.0,5239.0,1.0
beta[2019-20],0.173,0.014,0.146,0.2,0.0,0.0,6704.0,5149.0,1.0
beta[2020-21],0.174,0.014,0.148,0.2,0.0,0.0,6616.0,5260.0,1.0
beta[2021-22],0.171,0.013,0.144,0.196,0.0,0.0,7798.0,4773.0,1.0
beta[2022-23],0.168,0.014,0.141,0.194,0.0,0.0,6309.0,4762.0,1.0
beta[2023-24],0.176,0.015,0.15,0.208,0.0,0.0,5703.0,5180.0,1.0
beta[2024-25],0.178,0.015,0.152,0.208,0.0,0.0,5618.0,5271.0,1.0
beta[2025-26],0.172,0.013,0.148,0.199,0.0,0.0,7503.0,5157.0,1.0
