comparable_name,season,games_in_season,actual_wins,simulated_wins_mean,simulated_wins_p10,simulated_wins_p50,simulated_wins_p90,actual_percentile,league_baseline_per36
ATL 2010-11,2010-11,82,44,46.748,35.0,47.0,59.0,40.2,13.093722641675315
BOS 2010-11,2010-11,82,56,47.687,35.0,48.0,59.0,83.1,13.093722641675315
BKN 2010-11,2010-11,82,24,46.826,35.0,47.0,58.0,0.8,13.093722641675315
CHA 2010-11,2010-11,82,34,36.23,24.0,36.0,48.0,44.3,13.093722641675315
CHI 2010-11,2010-11,82,62,41.045,29.0,41.0,54.0,99.0,13.093722641675315
CLE 2010-11,2010-11,82,19,38.143,26.0,38.0,50.0,2.0,13.093722641675315
DAL 2010-11,2010-11,82,57,45.112,33.0,45.0,57.0,90.3,13.093722641675315
DEN 2010-11,2010-11,82,50,50.117,38.0,51.0,61.0,49.4,13.093722641675315
DET 2010-11,2010-11,82,30,37.663,26.0,38.0,49.0,24.0,13.093722641675315
GSW 2010-11,2010-11,82,36,36.509,25.0,36.0,49.0,51.5,13.093722641675315
HOU 2010-11,2010-11,82,43,42.757,31.0,43.0,54.10000000000002,53.5,13.093722641675315
IND 2010-11,2010-11,82,37,41.768,30.0,41.0,54.0,33.0,13.093722641675315
LAC 2010-11,2010-11,82,32,32.024,21.0,32.0,44.0,53.6,13.093722641675315
LAL 2010-11,2010-11,82,57,49.113,37.900000000000006,49.0,61.0,80.60000000000001,13.093722641675315
MEM 2010-11,2010-11,82,46,38.704,27.0,39.0,50.0,79.7,13.093722641675315
MIA 2010-11,2010-11,82,58,45.214,33.0,46.0,57.0,92.60000000000001,13.093722641675315
MIL 2010-11,2010-11,82,35,47.371,35.900000000000006,48.0,59.0,10.0,13.093722641675315
MIN 2010-11,2010-11,82,17,39.632,28.0,39.5,51.10000000000002,0.4,13.093722641675315
NOP 2010-11,2010-11,82,46,45.649,34.0,46.0,57.0,53.300000000000004,13.093722641675315
NYK 2010-11,2010-11,82,42,38.365,26.0,39.0,51.0,67.80000000000001,13.093722641675315
OKC 2010-11,2010-11,82,55,46.106,34.0,47.0,57.0,85.5,13.093722641675315
ORL 2010-11,2010-11,82,52,52.379,40.0,53.0,63.10000000000002,48.6,13.093722641675315
PHI 2010-11,2010-11,82,41,44.131,32.0,44.0,56.0,37.0,13.093722641675315
PHX 2010-11,2010-11,82,40,49.741,38.0,50.0,61.0,15.4,13.093722641675315
POR 2010-11,2010-11,82,48,46.872,35.0,47.0,58.0,53.400000000000006,13.093722641675315
SAC 2010-11,2010-11,82,24,38.95,27.0,39.0,51.0,5.7,13.093722641675315
SAS 2010-11,2010-11,82,61,42.676,30.900000000000006,43.0,54.0,98.4,13.093722641675315
TOR 2010-11,2010-11,82,22,39.259,27.0,39.0,51.10000000000002,3.2,13.093722641675315
UTA 2010-11,2010-11,82,39,38.978,27.0,39.0,51.0,53.0,13.093722641675315
WAS 2010-11,2010-11,82,23,30.82,20.0,30.0,43.0,21.0,13.093722641675315
ATL 2011-12,2011-12,66,40,35.254,25.0,35.0,45.0,75.4,12.652645083507448
BOS 2011-12,2011-12,66,39,36.922,27.0,37.0,47.0,64.5,12.652645083507448
BKN 2011-12,2011-12,66,22,31.856,22.0,32.0,42.0,13.0,12.652645083507448
CHA 2011-12,2011-12,66,7,24.665,15.0,24.5,34.0,0.4,12.652645083507448
CHI 2011-12,2011-12,66,50,36.754,27.0,37.0,46.10000000000002,96.6,12.652645083507448
CLE 2011-12,2011-12,66,21,22.901,14.0,23.0,32.0,43.6,12.652645083507448
DAL 2011-12,2011-12,66,36,37.796,28.0,38.0,47.0,43.8,12.652645083507448
DEN 2011-12,2011-12,66,38,39.828,30.0,40.0,49.0,41.8,12.652645083507448
DET 2011-12,2011-12,66,25,27.897,19.0,28.0,38.0,38.5,12.652645083507448
GSW 2011-12,2011-12,66,23,32.443,23.0,32.0,43.0,10.6,12.652645083507448
HOU 2011-12,2011-12,66,34,36.091,27.0,36.0,46.0,41.9,12.652645083507448
IND 2011-12,2011-12,66,42,37.422,28.0,37.5,47.0,72.7,12.652645083507448
LAC 2011-12,2011-12,66,40,39.277,29.0,40.0,49.0,54.2,12.652645083507448
LAL 2011-12,2011-12,66,41,37.653,28.0,38.0,47.0,69.5,12.652645083507448
MEM 2011-12,2011-12,66,41,34.191,25.0,34.0,44.0,81.89999999999999,12.652645083507448
MIA 2011-12,2011-12,66,46,32.984,23.0,33.0,42.0,96.39999999999999,12.652645083507448
MIL 2011-12,2011-12,66,31,33.497,24.0,33.0,43.0,39.7,12.652645083507448
MIN 2011-12,2011-12,66,26,31.305,22.0,31.0,41.0,27.900000000000002,12.652645083507448
NOP 2011-12,2011-12,66,21,36.443,27.0,36.0,46.0,2.5,12.652645083507448
NYK 2011-12,2011-12,66,36,31.254,21.0,31.0,41.0,74.8,12.652645083507448
OKC 2011-12,2011-12,66,47,40.168,31.0,41.0,49.0,84.89999999999999,12.652645083507448
ORL 2011-12,2011-12,66,37,41.703,33.0,42.0,51.0,28.199999999999996,12.652645083507448
PHI 2011-12,2011-12,66,35,37.124,28.0,37.0,46.0,40.5,12.652645083507448
PHX 2011-12,2011-12,66,33,35.383,25.0,36.0,45.0,40.1,12.652645083507448
POR 2011-12,2011-12,66,28,37.996,28.0,38.0,48.0,11.200000000000001,12.652645083507448
SAC 2011-12,2011-12,66,22,26.05,17.0,26.0,36.0,32.300000000000004,12.652645083507448
SAS 2011-12,2011-12,66,50,38.269,29.0,39.0,48.0,95.89999999999999,12.652645083507448
TOR 2011-12,2011-12,66,23,33.109,23.0,33.0,43.0,12.1,12.652645083507448
UTA 2011-12,2011-12,66,36,30.793,21.0,31.0,41.0,77.0,12.652645083507448
WAS 2011-12,2011-12,66,20,27.756,18.0,27.5,38.0,17.9,12.652645083507448
ATL 2012-13,2012-13,82,44,50.048,39.0,50.0,61.0,25.3,12.611666057264038
BOS 2012-13,2012-13,81,41,47.458,36.0,48.0,59.0,24.8,12.611666057264038
BKN 2012-13,2012-13,82,49,39.47,27.0,40.0,52.0,84.0,12.611666057264038
CHA 2012-13,2012-13,82,21,30.483,19.0,30.0,42.0,15.9,12.611666057264038
CHI 2012-13,2012-13,82,45,43.135,31.0,43.0,55.0,58.5,12.611666057264038
CLE 2012-13,2012-13,82,24,32.972,22.0,33.0,45.0,18.5,12.611666057264038
DAL 2012-13,2012-13,82,41,41.144,29.0,41.0,54.0,52.0,12.611666057264038
DEN 2012-13,2012-13,82,57,46.134,34.0,46.0,57.0,90.2,12.611666057264038
DET 2012-13,2012-13,82,29,35.094,24.0,35.0,47.0,26.200000000000003,12.611666057264038
GSW 2012-13,2012-13,82,47,38.57,27.0,38.0,51.0,82.89999999999999,12.611666057264038
