SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season
2010-11,1610612748,MIA,Miami Heat,21001221,2011-04-13T00:00:00,MIA @ TOR,W,48.0,37,81,0.457,13,26,0.5,10,14,0.714,13,27,40,20,15.0,6,1,8,18,15,97,18.0,1,1,1,1,5,34,17,53,2,6,8,79,80,64,10,66,53,31,45,44,79,79,18,77,48,17,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001202,2011-04-11T00:00:00,MIA @ ATL,W,48.0,36,69,0.522,6,17,0.353,20,24,0.833,10,28,38,24,19.0,5,3,1,19,21,98,8.0,1,1,1,1,5,41,75,21,39,45,41,47,54,14,29,60,63,15,77,59,60,9,26,45,47,39,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001194,2011-04-10T00:00:00,MIA vs. BOS,W,48.0,38,75,0.507,6,18,0.333,18,26,0.692,15,27,42,24,18.0,9,4,2,17,18,100,23.0,1,1,1,1,5,29,46,28,39,37,45,54,46,70,5,66,43,15,73,12,51,22,12,65,44,9,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001182,2011-04-08T00:00:00,MIA vs. CHA,W,48.0,39,69,0.565,3,9,0.333,31,35,0.886,5,29,34,26,16.0,7,4,4,20,25,112,9.0,1,1,1,1,5,26,75,8,71,78,45,8,16,7,76,56,75,11,52,32,51,53,33,14,16,36,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001164,2011-04-06T00:00:00,MIA vs. MIL,L,48.0,30,74,0.405,8,23,0.348,17,21,0.81,12,31,43,14,16.0,6,6,4,15,16,85,-5.0,1,59,59,59,5,77,52,75,22,13,44,57,64,21,15,53,37,73,52,44,23,53,4,74,78,69,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001142,2011-04-03T00:00:00,MIA @ NJN,W,48.0,42,75,0.56,5,15,0.333,19,32,0.594,8,42,50,22,15.0,5,4,0,23,25,108,14.0,1,1,1,1,5,13,46,9,49,58,45,51,22,81,52,2,3,23,45,59,51,1,64,14,24,22,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001126,2011-04-01T00:00:00,MIA @ MIN,W,48.0,42,77,0.545,4,13,0.308,23,30,0.767,9,37,46,26,18.0,8,3,3,20,24,111,19.0,1,1,1,1,5,13,40,13,64,68,60,28,28,43,41,10,18,11,73,22,60,41,33,19,17,16,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001110,2011-03-30T00:00:00,MIA @ WAS,W,48.0,41,71,0.577,10,19,0.526,31,39,0.795,8,27,35,28,13.0,7,7,6,18,30,123,16.0,1,1,1,1,5,17,69,4,8,30,7,8,7,25,52,66,73,7,31,32,16,74,18,4,4,20,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001101,2011-03-29T00:00:00,MIA @ CLE,L,48.0,33,78,0.423,10,25,0.4,14,22,0.636,8,22,30,24,13.0,5,3,7,25,23,90,-12.0,1,59,59,59,5,62,31,67,8,8,28,70,61,78,52,81,80,15,31,59,60,77,71,24,69,79,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001089,2011-03-27T00:00:00,MIA vs. HOU,W,48.0,46,92,0.5,5,17,0.294,28,34,0.824,17,31,48,16,10.0,1,6,2,19,23,125,6.0,1,1,1,1,5,4,1,31,49,45,64,13,18,16,2,53,12,63,8,82,23,22,26,24,2,47,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001072,2011-03-25T00:00:00,MIA vs. PHI,W,48.0,41,83,0.494,7,20,0.35,22,28,0.786,15,34,49,22,16.0,11,6,2,17,24,111,12.0,1,1,1,1,5,17,10,34,31,24,42,39,38,32,5,33,9,23,52,2,23,22,12,19,17,26,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001058,2011-03-23T00:00:00,MIA @ DET,W,48.0,31,64,0.484,6,19,0.316,32,39,0.821,8,26,34,20,12.0,6,1,1,21,26,100,6.0,1,1,1,1,5,72,81,43,39,30,57,6,7,18,52,74,75,31,20,44,79,9,43,12,44,47,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001030,2011-03-19T00:00:00,MIA vs. DEN,W,48.0,36,71,0.507,6,20,0.3,25,29,0.862,4,34,38,15,12.0,6,11,2,22,19,103,5.0,1,1,1,1,5,41,69,27,39,24,61,21,32,10,81,33,63,65,20,44,1,22,54,58,36,53,,regular,Miami Heat 2010-11,2010-11
2010-11,1610612748,MIA,Miami Heat,21001020,2011-03-18T00:00:00,MIA @ ATL,W,48.0,38,71,0.535,11,22,0.5,19,26,0.731,8,42,50,28,16.0,2,3,2,23,18,106,21.0,1,1,1,1,5,29,69,16,6,16,8,51,46,57,52,2,3,7,52,78,60,22,64,65,28,13,,regular,Miami Heat 2010-11,2010-11
