PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_name,team_id,team_abbreviation
1630228,2021-22,0,1610612744,GSW,19.0,16,3,138,30,60,0.5,3,13,0.231,20,26,0.769,4,23,27,8,3,2,11,11,83,Jonathan Kuminga,1610612737,ATL
1630228,2022-23,0,1610612744,GSW,20.0,10,0,61,13,24,0.542,3,7,0.429,5,9,0.556,4,5,9,5,2,0,4,5,34,Jonathan Kuminga,1610612737,ATL
1630228,2024-25,0,1610612744,GSW,22.0,8,1,187,45,93,0.484,10,25,0.4,22,31,0.71,7,13,20,10,4,4,13,13,122,Jonathan Kuminga,1610612737,ATL
1630228,2025-26,0,1610612737,ATL,23.0,6,0,156,29,60,0.483,5,24,0.208,19,26,0.731,6,14,20,6,3,3,6,16,82,Jonathan Kuminga,1610612737,ATL
1630552,2021-22,0,1610612737,ATL,20.0,2,0,9,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,Jalen Johnson,1610612737,ATL
1630552,2022-23,0,1610612737,ATL,21.0,6,0,56,10,24,0.417,4,11,0.364,2,2,1.0,2,13,15,8,3,0,5,5,26,Jalen Johnson,1610612737,ATL
1630552,2025-26,0,1610612737,ATL,24.0,6,6,214,40,92,0.435,9,31,0.29,28,32,0.875,6,40,46,31,5,2,14,20,117,Jalen Johnson,1610612737,ATL
1630811,2025-26,0,1610612737,ATL,27.0,3,0,15,2,8,0.25,0,3,0.0,2,2,1.0,0,3,3,3,1,0,0,1,6,Keaton Wallace,1610612737,ATL
203468,2013-14,0,1610612757,POR,22.0,6,0,24,1,11,0.091,0,5,0.0,2,2,1.0,0,1,1,0,0,0,1,2,4,CJ McCollum,1610612737,ATL
203468,2014-15,0,1610612757,POR,23.0,5,1,166,32,67,0.478,11,23,0.478,10,13,0.769,1,19,20,2,6,1,6,13,85,CJ McCollum,1610612737,ATL
