team_id,team_abbreviation,conference,wins_mean,wins_p10,wins_p90
1610612760,OKC,West,50.398,39.0,61.0
1610612759,SAS,West,47.033,36.0,58.0
1610612745,HOU,West,43.302,32.0,55.0
1610612739,CLE,East,43.125,31.0,54.0
1610612750,MIN,West,42.761,31.0,54.0
1610612737,ATL,East,42.666,31.0,53.0
1610612738,BOS,East,42.504,31.0,55.0
1610612753,ORL,East,42.466,31.0,53.0
1610612766,CHA,East,42.419,31.0,54.0
1610612765,DET,East,42.059,31.0,53.0
1610612743,DEN,West,41.834,30.0,53.10000000000002
1610612755,PHI,East,41.501,30.0,52.0
1610612752,NYK,East,40.916,30.0,52.0
1610612756,PHX,West,40.74,29.0,53.0
1610612748,MIA,East,40.362,29.0,52.0
1610612747,LAL,West,40.213,28.0,51.0
1610612761,TOR,East,39.952,28.0,52.0
1610612742,DAL,West,39.23,27.900000000000006,50.0
1610612757,POR,West,38.943,27.0,50.0
1610612744,GSW,West,38.536,27.0,50.0
1610612754,IND,East,38.399,27.0,51.0
1610612741,CHI,East,38.389,27.0,49.0
1610612749,MIL,East,38.038,27.0,49.0
1610612746,LAC,West,38.007,26.0,50.0
1610612740,NOP,West,36.859,26.0,48.0
1610612763,MEM,West,36.148,24.0,48.0
1610612764,WAS,East,33.725,23.0,45.0
1610612762,UTA,West,33.454,22.0,45.0
1610612758,SAC,West,33.378,22.0,45.0
1610612751,BKN,East,32.643,22.0,44.0
