team_id,team_abbreviation,conference,wins_mean,wins_p10,wins_p90
1610612760,OKC,West,53.619,43.0,64.0
1610612759,SAS,West,46.107,35.900000000000006,56.0
1610612738,BOS,East,44.845,33.0,56.0
1610612739,CLE,East,44.146,33.0,56.0
1610612755,PHI,East,43.868,32.0,55.0
1610612745,HOU,West,43.855,32.0,55.0
1610612743,DEN,West,43.778,32.0,55.0
1610612744,GSW,West,41.694,30.0,53.0
1610612737,ATL,East,41.623,29.0,53.0
1610612753,ORL,East,41.517,30.0,53.0
1610612748,MIA,East,41.022,30.0,52.0
1610612750,MIN,West,41.001,29.900000000000006,53.0
1610612765,DET,East,40.922,30.0,52.0
1610612766,CHA,East,40.69,29.0,51.0
1610612752,NYK,East,40.643,30.0,52.0
1610612747,LAL,West,40.584,30.0,51.0
1610612756,PHX,West,39.629,28.0,52.0
1610612761,TOR,East,39.535,28.0,51.0
1610612742,DAL,West,39.504,28.0,50.0
1610612757,POR,West,39.296,28.0,50.0
1610612746,LAC,West,38.741,27.0,50.0
1610612754,IND,East,37.817,26.0,49.0
1610612749,MIL,East,37.526,27.0,49.0
1610612741,CHI,East,37.167,26.0,49.0
1610612763,MEM,West,35.911,25.0,47.0
1610612740,NOP,West,35.898,25.0,47.0
1610612764,WAS,East,34.543,24.0,45.0
1610612762,UTA,West,32.926,22.0,44.0
1610612758,SAC,West,32.214,21.0,44.0
1610612751,BKN,East,29.379,19.0,41.0
