SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season,possessions_estimate,net_rating_estimate,game_number,rolling_net_rating
2020-21,1610612751,BKN,Brooklyn Nets,22000001,2020-12-22,BKN vs. GSW,W,48.0,42,92,0.457,15,35,0.429,26,32,0.813,13,44,57,24,20.0,11,7,6,22,24,125,26.0,1,1,1,1,5,39,15,54,28,40,23,7,6,37,5,2,1,46,70,4,14,50,54,9,21,6,1.0,regular,Brooklyn Nets 2020-21,2020-21,113.08,22.992571630703925,1,22.992571630703925
2020-21,1610612751,BKN,Brooklyn Nets,22000007,2020-12-25,BKN @ BOS,W,48.0,41,76,0.539,15,29,0.517,26,31,0.839,9,34,43,21,16.0,5,10,5,22,27,123,28.0,1,1,1,1,5,46,69,18,28,63,4,7,7,29,32,39,42,58,47,50,2,41,54,3,27,4,1.0,regular,Brooklyn Nets 2020-21,2020-21,96.64,28.97350993377483,2,25.983040782239378
2020-21,1610612751,BKN,Brooklyn Nets,22000032,2020-12-27,BKN @ CHA,L,48.0,35,82,0.427,17,47,0.362,17,25,0.68,6,40,46,23,19.0,4,5,3,17,25,104,-2.0,1,49,49,49,5,66,56,64,15,1,47,40,25,65,57,15,29,51,64,58,31,14,17,4,64,50,1.0,regular,Brooklyn Nets 2020-21,2020-21,106.0,-1.8867924528301887,3,16.693096370549522
2020-21,1610612751,BKN,Brooklyn Nets,22000042,2020-12-28,BKN vs. MEM,L,53.0,41,100,0.41,14,42,0.333,15,17,0.882,13,37,50,28,17.0,13,6,4,20,17,111,-5.0,1,49,49,49,2,46,2,67,35,11,53,49,53,12,5,28,14,32,52,1,19,29,45,47,52,55,1.0,regular,Brooklyn Nets 2020-21,2020-21,111.48,-4.485109436670254,4,11.398544918744578
2020-21,1610612751,BKN,Brooklyn Nets,22000057,2020-12-30,BKN vs. ATL,W,48.0,54,100,0.54,19,41,0.463,18,23,0.783,9,31,40,30,9.0,6,3,2,24,19,145,4.0,1,1,1,1,5,2,2,17,7,15,14,33,33,42,32,57,54,19,10,33,57,6,60,34,3,39,1.0,regular,Brooklyn Nets 2020-21,2020-21,110.12,3.632401017072285,5,9.84531613841012
2020-21,1610612751,BKN,Brooklyn Nets,22000072,2021-01-01,BKN vs. ATL,L,48.0,35,86,0.407,7,37,0.189,19,23,0.826,10,35,45,19,15.0,6,6,3,16,20,96,-18.0,1,49,49,49,5,66,40,68,68,30,71,28,33,32,23,35,32,66,40,33,19,14,10,27,71,69,1.0,regular,Brooklyn Nets 2020-21,2020-21,101.12,-17.800632911392405,6,5.2376579634430325
2020-21,1610612751,BKN,Brooklyn Nets,22000086,2021-01-03,BKN vs. WAS,L,48.0,40,81,0.494,14,32,0.438,28,31,0.903,7,44,51,25,20.0,5,9,3,24,22,122,-1.0,1,49,49,49,5,53,59,32,35,49,22,3,7,7,50,2,8,42,70,50,5,14,60,15,29,49,1.0,regular,Brooklyn Nets 2020-21,2020-21,107.64,-0.929022668153103,7,4.356703587500728
2020-21,1610612751,BKN,Brooklyn Nets,22000102,2021-01-05,BKN vs. UTA,W,48.0,52,93,0.559,14,36,0.389,12,16,0.75,8,43,51,31,13.0,11,5,3,22,18,130,34.0,1,1,1,1,5,3,12,12,35,36,41,63,60,53,40,6,8,14,29,4,31,14,54,38,11,2,1.0,regular,Brooklyn Nets 2020-21,2020-21,105.04,32.368621477532365,8,7.858193323754682
2020-21,1610612751,BKN,Brooklyn Nets,22000118,2021-01-07,BKN vs. PHI,W,48.0,44,97,0.454,15,37,0.405,19,29,0.655,11,37,48,30,13.0,11,7,6,17,25,122,13.0,1,1,1,1,5,25,7,56,28,30,33,28,12,68,15,28,23,19,29,4,14,50,17,4,29,15,1.0,regular,Brooklyn Nets 2020-21,2020-21,111.76,11.632068718682891,9,8.27751281208004
2020-21,1610612751,BKN,Brooklyn Nets,22000128,2021-01-08,BKN @ MEM,L,48.0,38,81,0.469,14,31,0.452,20,21,0.952,4,38,42,26,21.0,6,4,6,13,18,110,-5.0,1,49,49,49,5,61,59,53,35,54,19,23,43,3,65,20,46,37,72,33,46,50,5,38,55,55,1.0,regular,Brooklyn Nets 2020-21,2020-21,107.24,-4.662439388287953,10,6.98351759204324
2020-21,1610612751,BKN,Brooklyn Nets,22000143,2021-01-10,BKN vs. OKC,L,48.0,43,85,0.506,10,34,0.294,20,24,0.833,6,37,43,23,17.0,3,2,4,18,22,116,-13.0,1,49,49,49,5,34,44,27,60,45,63,23,29,30,57,28,42,51,52,61,65,29,26,15,39,66,1.0,regular,Brooklyn Nets 2020-21,2020-21,106.56,-12.1996996996997,11,3.4642904590028776
2020-21,1610612751,BKN,Brooklyn Nets,22000158,2021-01-12,BKN vs. DEN,W,48.0,48,79,0.608,16,32,0.5,10,15,0.667,8,33,41,31,19.0,6,6,5,18,18,122,6.0,1,1,1,1,5,12,64,2,22,49,8,68,64,66,40,45,49,14,64,33,19,41,26,38,29,32,1.0,regular,Brooklyn Nets 2020-21,2020-21,96.6,6.211180124223603,12,1.1880574780477544
2020-21,1610612751,BKN,Brooklyn Nets,22000168,2021-01-13,BKN @ NYK,W,48.0,44,91,0.484,16,40,0.4,12,17,0.706,12,34,46,29,6.0,3,5,3,12,16,116,7.0,1,1,1,1,5,25,20,40,22,23,36,63,53,63,12,39,29,28,3,61,31,14,4,51,39,29,1.0,regular,Brooklyn Nets 2020-21,2020-21,92.48,7.569204152249134,13,2.133657138555687
